Session,Title,Speaker,Talk_Type,YouTube,Materials
Programming,FasteR code: vectorizing computations in R,S Gwynn Sturdevant,lightning,https://youtu.be/Rmc4uSpKLWA,https://drive.google.com/file/d/1FCLoysF4yuprmj__BRMIafpBS21FvYtL/view?usp=sharing
Programming,Why continuous integration will save your team and your packages,Sebastian Engel-Wolf,lightning,https://youtu.be/lP0FjbNvz-Q,https://drive.google.com/file/d/1wdBE_B6vsCJZCnSce2xsnW4h8qT5IIrh/view?usp=sharing
Programming,LabVIEW-R interface,damjan krizmancic,poster,https://youtu.be/3pCipET5jRg,https://drive.google.com/file/d/1F-Kj1plVz0OgELkK6l9qPCvWT5Ew9CZ-/view?usp=sharing
Reproducible Research,Be proud of your code!,Marcin Dubel,regular,https://youtu.be/xrALIrUEshc,NA
Reproducible Research,Rapid & Reproducible Resistance Analysis For All - The AMR package for R,Matthijs Berends,regular,https://youtu.be/uqaKwk-VAdA,https://drive.google.com/file/d/1R_SNJaD7QJlqNFQIeLJlNHoXS4lSTypD/view?usp=sharing
Reproducible Research,Using Pins to Ensure Reproducibility with Datasets,Javier Luraschi,regular,https://youtu.be/8dDG2ULde8M,https://drive.google.com/file/d/1_f3k5VMBiWGVlV-dCEKxZno3WaqC8qPL/view?usp=sharing
Reproducible Research,PRDA package: Enhancing Statistical Inference via Prospective and Retrospective Design Analysis,Claudio Zandonella Callegher,lightning,https://youtu.be/IkCzuJei3_E,https://drive.google.com/file/d/14dZZeqYc9pFOd2CXs6O3lvvYP8hUAxZA/view?usp=sharing
Reproducible Research,projmgr: Managing the human dependencies of your project,Emily Riederer,lightning,https://youtu.be/8OfaIOICD20,https://drive.google.com/file/d/1FtE9GXw_UF2RJg0hIfAjYRQ8OVuaOKS1/view?usp=sharing
Reproducible Research,Reactor: reactive notebooks for R,Herb Susmann,lightning,https://youtu.be/hytdjtM6Chg,https://drive.google.com/file/d/1UAPV0YbiplRsnda7bwhR3j0vUN9ygb7D/view?usp=sharing
Reproducible Research,Why Should I use the Here Package When I’m Already Using Projects,Malcolm Barrett,lightning,https://youtu.be/QYrdsjBvZN4,https://drive.google.com/file/d/1YUJXCtESntzxSWC9QNCaiDESjLpxhX2v/view?usp=sharing
