Year,Speaker,Presentation_Type,Title,Keywords
2020,Tobias Rockel,lightning,missMethods - An R Package for Creating and Handling Missing Data as well as Evaluating Missing Data Methods,Data Management
2020,Charlotte Looby,lightning,SynthTools: An R Package to Measure Synthetic Data Utility,Data Management
2020,Nikolas Kuschnig,regular,BVAR: Bayesian Vector Autoregressions with Hierarchical Prior Selection in R,Economics and Finance
2020,Alyssa Columbus,regular,R for Data Privacy and Governance,Economics and Finance
2020,Alexander Lange,regular,svars: An R Package for Data-Driven Identification in Multivariate Time Series Analysis,Economics and Finance
2020,Dimitri Marinelli,regular,Understanding Machine Learning for Diversified Portfolio Construction by Explainable AI,Economics and Finance
2020,"Yong Chen, xuanyan cai",lightning,Multi-stage Financial Modeling using Machine Learning in R,Economics and Finance
2020,Antoine Logean,poster,How green is your portfolio? Tracking CO2 footprint in the insurance sector,Economics and Finance
2020,Jedrzej Swiezewski,regular,Fast.ai in R preserving wildlife with computer vision,Machine Learning and Statistics
2020,"B. Charlier, G. Durif",regular,KeOps: Seamless Kernel Operations on GPU without memory overflows,Machine Learning and Statistics
2020,Bettina Grün,lightning,Extending flexmix to model-based clustering with sparse data,Machine Learning and Statistics
2020,Anton Antonov,lightning,How to simplify Machine Learning workflows specifications?,Machine Learning and Statistics
2020,Sebastian Gruber,poster,mlr3hyperband: Multi-Fidelity Hyperparameter Optimization with R,Machine Learning and Statistics
2020,Helena Kotthaus,poster,Towards Trustworthy Machine Learning: Debugging with Expert Knowledge,Machine Learning and Statistics
2020,Mark van der Loo,regular,A method for deriving information from running R code,Programming
2020,"Andy Nicholls, Juliane Manitz",regular,A Risk-based Assessment for R Package Accuracy,Programming
2020,Max Turgeon,regular,Arbitrary precision linear algebra in R using RcppEigen and BH,Programming
2020,Els Lommelen,regular,Flexibility in routines by using s4 classes: calculating habitat conservation status as an example,Programming
2020,Stepan Sindelar,regular,How fastR can help R package developers,Programming
2020,Tomas Kalibera,regular,The Current State and Future Prospects of Encoding Support in R,Programming
2020,S Gwynn Sturdevant,lightning,FasteR code: vectorizing computations in R,Programming
2020,Sebastian Engel-Wolf,lightning,Why continuous integration will save your team and your packages,Programming
2020,damjan krizmancic,poster,LabVIEW-R interface,Programming
2020,Marcin Dubel,regular,Be proud of your code!,Reproducible Research
2020,Matthijs Berends,regular,Rapid & Reproducible Resistance Analysis For All - The AMR package for R,Reproducible Research
2020,Javier Luraschi,regular,Using Pins to Ensure Reproducibility with Datasets,Reproducible Research
2020,Claudio Zandonella Callegher,lightning,PRDA package: Enhancing Statistical Inference via Prospective and Retrospective Design Analysis,Reproducible Research
2020,Emily Riederer,lightning,projmgr: Managing the human dependencies of your project,Reproducible Research
2020,Herb Susmann,lightning,Reactor: reactive notebooks for R,Reproducible Research
2020,Malcolm Barrett,lightning,Why Should I use the Here Package When I’m Already Using Projects,Reproducible Research
2020,Ed Merkle,regular,blavaan: An R package for Bayesian structural equation modeling,Social Science
2020,Carlos Cinelli,regular,sensemakr Sensitivity Analysis Tools for OLS,Social Science
2020,Ethan Brown,regular,simpr: concise and readable simulations for the tidyverse,Social Science
2020,Simon Couch,lightning,Social Categorizations in CRAN data,Social Science
2020,Gina Griffin,lightning,Why Social Workers Need Data Science,Social Science
2020,Michael Ghisletti,lightning,Word Embeddings and Geometric Deep Learning for Social Network Analysis,Social Science
2020,Ottavia Epifania,poster,Scoring the implicit: The implicitMeasures package,Social Science
2020,Orhun Aydin,regular,arcgisbinding: An R package for integrating R in ArcGIS,Spatial
2020,Andy Teucher,regular,bcdata: Reproducible spatial data retrieval from a Geoserver Web Service,Spatial
2020,Jim Kloet,lightning,"Mapping 311 Requests by Community Area in Chicago Using Shiny, Leaflet, and The Tidyverse",Spatial
2020,Edwin de Jonge,lightning,Privacy protected maps using adaptive kernel density estimation,Spatial
2020,Daniel Jacobs,regular,Learning R Through Spaced Repetition and the Remembr Package,Teaching
2020,Aimee Schwab-McCoy,regular,Moving backwards with R,Teaching
2020,"Alon Friedman, Zachariah Beasley",regular,Teaching R with Peer Review and a New Rubric,Teaching
2020,Casey Canfield,lightning,Framing transparency as an ethical responsibility in PhD data science,Teaching
2020,"Maze Ndukum, Dorris Scott, Marcy Vana",lightning,University Libraries for R: Supporting R useR!s,Teaching
2020,Juniper Simonis,regular,LDATS: Latent Dirichlet Allocation Coupled with Time Series Analyses,Time Series
